timestamp,datetime,open,high,low,close,volume
1767387600000,2026-01-03 00:30:00,131.16,132.13,131.13,131.94,18401.214
1767391200000,2026-01-03 01:30:00,131.94,133.25,131.9,132.65,37708.071
1767394800000,2026-01-03 02:30:00,132.65,132.75,131.89,132.3,30843.005
1767398400000,2026-01-03 03:30:00,132.3,132.94,132.25,132.54,23486.446
1767402000000,2026-01-03 04:30:00,132.54,132.99,132.38,132.64,15071.876
1767405600000,2026-01-03 05:30:00,132.64,133.08,132.11,132.88,26718.551
1767409200000,2026-01-03 06:30:00,132.88,133.13,132.19,132.82,24797.951
1767412800000,2026-01-03 07:30:00,132.82,132.9,132.2,132.38,17941.521
1767416400000,2026-01-03 08:30:00,132.38,132.55,131.6,131.9,26991.766
1767420000000,2026-01-03 09:30:00,131.9,132.3,131.05,131.17,25737.861
1767423600000,2026-01-03 10:30:00,131.17,131.4,129.6,130.1,60602.6
1767427200000,2026-01-03 11:30:00,130.1,131.04,129.77,130.7,27715.614
1767430800000,2026-01-03 12:30:00,130.7,131.46,130.39,131.17,27891.971
1767434400000,2026-01-03 13:30:00,131.17,131.22,130.83,130.96,21840.247
1767438000000,2026-01-03 14:30:00,130.96,131.01,130.44,130.71,17004.526
1767441600000,2026-01-03 15:30:00,130.71,130.97,130.5,130.9,16941.495
1767445200000,2026-01-03 16:30:00,130.9,131.41,130.82,131.3,21158.639
1767448800000,2026-01-03 17:30:00,131.3,132.19,131.14,132.02,23441.429
1767452400000,2026-01-03 18:30:00,132.02,132.03,131.22,131.47,26683.344
1767456000000,2026-01-03 19:30:00,131.47,131.99,131.47,131.76,20361.701
1767459600000,2026-01-03 20:30:00,131.76,132.03,131.63,131.92,10366.271
1767463200000,2026-01-03 21:30:00,131.92,132.11,131.59,131.94,16429.426
1767466800000,2026-01-03 22:30:00,131.94,131.96,131.66,131.77,9073.643
1767470400000,2026-01-03 23:30:00,131.77,132.03,131.36,132,13911.921
